Timestamp,តើអ្នកមានភេទអ្វី?,តើអ្នកមានអាយុប៉ុន្មាន?​​ (សូមបញ្ចូលជាលេខឡាតាំង),តើសព្វថ្ញៃអ្នកមានមុខរបរជាអ្វី?,តើជាធម្មតា​ អ្នកទទួលបានសេវាថែទាំសុខភាពពីមន្ទីរពេទ្យរដ្ឋ ឬឯកជន?,តើជាធម្មតាអ្នកត្រូវរង់ចាំរយៈពេលប៉ុន្មានដើម្បីទទួលបានការថែទាំសុខភាព? (Ex: 1:30 មួយម៉ោងកន្លះ),តើអ្នកមានប្រាក់ចំណូលប៉ុន្មានក្នុងមួយខែគិតជាដុល្លារ?​ (បើសិនអ្នកជាសិស្ស សូមបញ្ចូលប្រាក់ចំណាយប្រចាំខែរបស់អ្នក),តើជាធម្មតា អ្នកចំណាយប្រាក់ប្រហែលជាប៉ុន្មានដែលទៅលើសុខភាពរបស់អ្នកប្រចាំខែដែរអ្នកឈឺ? (គិតជាដុល្លារ)
1/16/2024 9:57:48,1. ប្រុស,19,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30mn,100,25
1/16/2024 13:22:32,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,5 minutes,200 USD,10
1/16/2024 14:38:13,1. ប្រុស,23,និស្សិត,1. មន្ទីរពេទ្យរដ្ឋ,1,100,40
1/16/2024 14:47:45,2. ស្រី,MEAN CHHUNLANG ,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30នាទី,100$,10$
1/16/2024 14:47:46,1. ប្រុស,SON CHIVORN,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1:00,130$,10$
1/16/2024 14:48:12,1. ប្រុស,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:30,75,10
1/16/2024 14:48:21,1. ប្រុស,19,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30mn,50$,50$
1/16/2024 14:48:44,1. ប្រុស,19,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1,50$,20$
1/16/2024 14:48:48,1. ប្រុស,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30ម៉ោង,50ដុល្លា,25ដុល្លា
1/16/2024 14:52:35,2. ស្រី,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,2,10$,10$
1/16/2024 14:53:55,1. ប្រុស,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,១នាទីកន្លះ,២០មុឺន,១៥០$
1/16/2024 14:54:25,2. ស្រី,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:00 មួយម៉ោង,300$,50$
1/16/2024 14:54:46,1. ប្រុស,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30នាទី,100$/ខែ,25$
1/16/2024 14:55:22,2. ស្រី,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,2h,ចំណាយ80$/1ខែ,100$
1/16/2024 14:55:35,2. ស្រី,SEN SREYRORN ,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,មួយម៉ោងកន្លះ,100$,10$
1/16/2024 14:57:10,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1:00,300000,80000
1/16/2024 14:58:11,1. ប្រុស,19,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30,400,50
1/16/2024 14:59:06,1. ប្រុស,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,20mn,200$,100$
